Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
1818 Alberni in Downtown Vancouver,1818 Alberni Street,,,Landa Global Properties,50,,21,2 units per floor,,"Stanley Park, Pacific Ocean, Downtown Skyline, North Shore Mountains, Burrard Inlet",Stanley Park,"Seawall, shopping, dining, beaches",109,,
187 West 41st Avenue | Vancouver West,NE corner of Columbia St & W 41st Ave,,Condo,Benest Homes,23,Woodframe,4,,"1- 2- & 3-bedroom homes, ranging from 500–1,022 sf",,Queen Elizabeth Park,"Shops, restaurants & services at Oakridge Centre",2 levels of underground parking,,
188 Keefer - A Westbank Pre-Sale in Chinatown,188 Keefer Street,"$239,900+",,Westbank,134 condominium homes,,17 storeys of city views,"Designed by award-winning W.T. Leung Architects, 22 rental suites targeted for senior citizens",,,,,,,
1943-1967 East Hastings | East Vancouver,Hastings & Semlin,,Condo,Reliance Properties,131,,8,"17,980 sf of commercial space at grade","Studio & 1-3 BED, ranging from 484 - 1,021 sf",,"Pandora Park, Hastings Park, New Brighton Park","A few blocks from Commercial Drive cafes, restaurants, shops; Steps to schools, grocers & breweries.",3 levels of underground parking,,
2030 Barclay in Downtown Vancouver's West End,2030 Barclay St,,,Marcon Developments,19,,10,steps away from English Bay beaches,,,,"walking distance to Denman & Robson shops, restaurants",40 vehicle parking spaces,,
2209-2249 East Broadway,2219 E Broadway,,Condo,Epix Developments,87,,6,Steps from Laura Secord Elementary & Van Tech Secondary schools,,,Short distance to Trout Lake Park & Community Centre,"Close to Commercial Drive shops, restaurants, services",95 vehicles and 109 bicycles,,
27North in North Vancouver,3490 Mount Seymour Parkway,,Townhouse,"Intergulf Development Group, Tatla Developments",27,Wood Frame,3,9’ ceilings in living areas,Central heating and cooling,,McCartney Creek Park,"Grocery stores, schools, restaurants and a community recreation center",Private parking with convenient direct home access,,
288 East Hastings - Brand New Presales,288 East Hastings,,1 and 2-bedroom condos,Wall Financial,68,,12,These details are not yet available.,,,"Oppenheimer, Andy Livingstone",An exciting mix of restaurant and entertainment options.,,,
2nd + Main by Create Properties in Mount Pleasant,1847 Main St,,,Create Properties,226,Concrete,12,"3,500 sq ft artist production space",,,,"Shopping, Dining, Breweries",297,Secured bicycle storage,
3000 Henry In Port Moody,3000 Henry,,Condo,Aultrust Development,173,Concrete,11,25 minutes to Downtown Vancouver via West Coast Express,,,1 acre park proposed w/ 3km of improved trails,Steps from St. Johns Street restaurants; 10 minutes to Coquitlam Centre shopping; Rocky Point Park recreation,"1 levels underground parking w/ EV charging in each stall + ride-share options, bike storage, wash & repair station",,
310 Salter in Port Royal,310 Salter St,,"mix of condos, lofts, townhomes",Aragon Properties,77,,3 cross-laminated timber lowrises,beside Queensborough River Trail,,rooftop terraces with river & mountain views,short walk to Port Royal Park & Community Garden,5-minute drive to Queensborough Landing shops & services,,,
319-359 West 49th Avenue,339 W 49th Ave,,Condo,Killarney Enterprises,51,Woodframe,4,1 block from Langara-49th Avenue Canada Line station,,,Tisdall Park,"Close to Oakridge Centre shopping, Langara College, Langara Golf Course, YMCA recreation centre",61,,
3227 & 3239 St. Johns | Port Moody,St. Johns Street,,Condo,Porte Homes,112,,6,,"1-3 bedroom homes, ranging from 549–1,171 sf",,"Corbeau Park, Harrier Park","Rocky Point Park recreation, Brewery Row craft breweries, Coquitlam Centre shopping,",Yes,Yes,
3355 North Road by Onni at Burquitlam,3355 North Road,,,Onni,540,Concrete,11,,,,,"Close to shopping, dining, gyms, grocers, library",,,
349 West Georgia - Remaking Downtown East,349 West Georgia Street,,,BC Investment Management Corporation,650 rental and 200 market condos,Concrete,,,,,Cathedral Square and Victory Square,"A bevy of shopping, dining, cultural and entertainment options, as one may expect in the heart of a major cosmopolitan city like Vancouver.",,,
3510 Main Street | East Vancouver,Main St & 19th Ave,,Condo,Rositch Hemphill Architects,36,,4,,2 & 3 bedroom homes,,"Creekside Park, Guelph Park","Only minutes from the several restaurants, shops and services of Main Street + a short commute to downtown Vancouver",2 levels of underground parking,,
3535 Princeton in Coquitlam,3535 Princeton Avenue,,Townhouse,Nordel,27,,,Rooftop patios,,,,Coquitlam Centre and Freemont Village,,,
375 East 1st Ave by Onni Group,375 East 1st Avenue,,1 to 3 bedroom condominium units,Onni Group of Companies,220,,7 and 15,,,"Burrard Inlet, Downtown Vancouver","Carolina Park, Guelph Park","Emily Carr School of Design, Dining, Shopping, Fitness Centres",,,
41 West by Washington Properties A New Presale Condo Vancouver's Cambie Corridor,675 West 41st Avenue,,Condos,Washington Properties,98,Concrete,,"Very close to the Canada line, Oakridge Centre and Queen Elizabeth Park",,,Queen Elizabeth Park,Nat Bailey Stadium,Included with all suites,Included with 2 and 3 bedroom suites,
4138 Cambie by Pennyfarthing at Cambie & King Edward,4138 Cambie St,,Condo and Townhouse,Pennyfarthing Homes,24,Concrete,6-storey residential building with two detached 2-storey townhouses,Just steps from the King Edward Canada Line station,,,Queen Elizabeth Park,"Hillcrest Aquatic Centre, Nat Bailey Stadium, VanDusen Botanical Garden, shops, restaurants and more",22,,
4338 Cambie | Vancouver Westside,Cambie & W 28th Ave,,Condo + Townhouse,AMA Developments,68,,6,,"Variation of 1-3 BED condominiums & 2-BED, 2-storey townhomes",,Queen Elizabeth Park,"Shops, cafés, restaurants & services of Oakridge Centre, Cambie Village & Queen Elizabeth Park; Hillcrest Community Centre recreation",1,1,
4715 Nanaimo Street,4715 Nanaimo St,,Condo,Matthew Cheng Architect,27,Woodframe,4,,,,General Brock Park,Steps from Kingsway restaurants & shops; walking distance to Shoppers Drugmart & T&T Supermarket,Near SkyTrain & multiple bus routes,,
485 Commercial in Vancouver,485 Commercial Dr,,Condo and Townhouse,Cressey,10 studios & 21 3-bedroom townhouses,,4,good transit accessibility,,,Woodland Park,"Restaurants, entertainment, schools, pharmacies, public transportation",45,,
486 West 26th by Tygate | Vancouver Westside,Cambie & West 26th,,Condo,Tygate,29,,6,,"1-, 2- & 3-BED, ranging from 640 - 1,036 sf",,Queen Elizabeth Park,"Shops, cafés, restaurants & services of Oakridge Centre, Cambie Village & Queen Elizabeth Park",2-levels underground,1,
50 Electronic in Port Moody,50 Electronic Ave,,Condo,Panatch Properties,358,,6,"18,212 sq ft of commercial space",,,Across from Rocky Point Park,"Enjoy kayaking on Burrard Inlet,",598,,
515 Chatham in Victoria,515 Chatham,,Condo,Le Fevre and Company Property Agents,88,,5,,,,Central Park,"Galleries, shops, restaurants and cultural hot spots",,,
526 West 37th Avenue | Vancouver West,West 37th & Cambie,,Condo,AC Queen Limited,22,,6,,"1-3 bedrooms, ranging from 547–2,019 sf + some include private decks",,Queen Elizabeth Park,"Shopping, dining & services at Oakridge Centre; sports, dog-park, restaurants, conservatory & gardens at Queen Elizabeth Park",2 levels of underground parking,,
528 West 28th,528 W 28th Ave,,Townhomes,Intergulf Development Group,59 townhomes,Woodframe,,,,,Steps from Queen Elizabeth Park,"Cambie Village restaurants, Oakridge Centre shopping, Hillcrest Community Centre & Nat Bailey Stadium",70 vehicles with electric charging stations and 76 bicycles,,
535 West 29th,535 W 29th Ave,,Townhouse,Redekop Kroeker Development,38,,,,,,Queen Elizabeth Park,"Oakridge Centre shopping, Hillcrest Community Centre & Nat Bailey Stadium, Cambie Village restaurants",42 vehicle parking stalls,,
560 Raymur by Onni Group,Raymur Avenue & Keefer Street,,,Onni Group of Companies,,,,,,,Strathcona Park & Community Garden,"10-minute walk to Chinatown restaurants & shops, close to Gourmet Warehouse & Fujiya Japanese Foods",2 levels of parking underground,,
567 Clarke + Como by Marcon,567 Clarke Road,TBD,condos,Marcon,364,Concrete,49,,,"Yes, Downtown, water, mountain",como lake,"shopping, entertainment, skytrain",,,
5740 Cambie by Polygon | Vancouver Westside,Cambie & West 41st,,Condo,Polygon,213,,27- & 14-storey buildings,,"1-, 2- & 3-bedroom suites + a penthouse suite",,Queen Elizabeth Park,"Shops, restaurants & services in retail of building, Oakridge Centre & Queen Elizabeth Park",4 levels of underground,1,
582 West King Edward,588 W King Edward Ave,,Condo and Townhouse,Aragon Properties,31 condominiums & 5 townhomes,,4-storey lowrise & 2.5-storey townhouse building,All ground floor units include private patios,,,short walk to Queen Elizabeth Park,"Oakridge Centre shopping, Cambie Village commercial district, Douglas Park Community Centre","A one-level underground parkade will contain 39 vehicle stalls, 45 bicycle space",,
588 West 49th | Vancouver West Side,West 49th & Ash St,,Condo,Ning Hua Development,31,,4,,"Studio, 1, 2 & 3 BED condos, ranging from 443 - 1,625 sf",,"Tisdall Park, Cambie Park, Winona Park",Langara College & several schools (k-12); Langara Golf Course & Langara Trail; Langara Family YMCA; Oakridge Centre shops & restaurants; only minutes to downtown Vancouver & YVR Airport,1 level of underground parking,,
601 Beach Crescent in Vancouver,601 Beach Crescent,,Condos,Pinnacle International,300 market homes,Concrete,52,"18,000 sq. ft. of ground-floor retail space",,Waterfront and Park,"George Wainborn Park, David Lam Park","Yaletown, Shopping Centre, Parks, School and more",,,
6020 East Boulevard in Vancouver,6020 East Blvd,,Condo,Kenstone Properties,47,,4,On Arbutus Greenway,,,Kerrisdale Centennial Park,"Walking distance to Kerrisdale Community Centre, local boutique shopping & international dining",,,
6075 Wilson Avenue | Burnaby,6075 Wilson Avenue,,Condo,Anthem Properties,444,,44,,"Studio, 1- , 2- & 3-bedroom units",City views,Central Park,"Metropolis at Metrotown shopping, restaurants, services and entertainment",4 underground levels,,
618 Carnarvon in the Heart of New Westminster,618 Carnarvon Street,Starting from low 400ks,Condo and Townhouse,Skyllen Pacific,262,,33,Minutes from two SkyTrain stations,,Stunning views of Mount Baker and the Fraser River,Westminster Pier Park,"Steps away from grocery stores, pharmacies, restaurants and coffee shops, banks, fitness studios, spas, and salons",On-site Car Share parking stalls,1,
620 West King Edward,620 W King Edward Ave,,Condo & Townhouse,Western Construction,53 condominiums & 6 townhomes,,Two 4-storey lowrises & one 3-storey townhouse building,Close to Cambie Village commercial district,,,Short walk to Queen Elizabeth Park,"Douglas Park Community Centre, Oakridge Centre",77 vehicle stalls,,
626 Alexander-A Boutique Condo in Vancouver's Railtown Neighbourhood,626 Alexander St,,1-bedroom & multi-level 2-bedroom homes,The Circadian Group,24 units,,4 storeys,"9-ft ceilings, private decks (for 2-bedroom homes), shared courtyard, pet friendly",,,,,,,
644 Como Lake in Coquitlam,748 Dogwood St,,Condo,Woodbridge Properties,116,,two 6-storey lowrise buildings,,,,,,170,,
692 West 29th | Vancouver's West Side,West 29th & Heather,,Condo + Townhouse,B Squared Architecture,8,Woodframe,3,,"1-, 2- & 3 bedroom homes, ranging from 461 – 1,170 sf",,Queen Elizabeth Park,"Excellent schools, Queen Elizabeth Park amenities, King Edward Mall groceries, restaurants, shops & conveniences",Yes + a car share membership for 20 years,Secure lockers,
7549 Oak Street by Gradual at Oak & 59th,7549 Oak St,,Townhouse,Gradual,31,,five 2- & 2.5-storey buildings,,,,Oak Park,"Restaurants, entertainment, schools, pharmacies, public transportation, shopping mall and more",32 vehicle parking spaces and 39 bicycle spaces,,
7843 Cambie | Vancouver Westside,Cambie & West 63rd Ave,,Townhouse,WDG Investment,29,Woodframe,6,,"1-3 BED suites, ranging from 469-1,019 sf",,Winona Park,"Langara Golf Course, Oakridge Centre & Marine Gateway shopping",2 levels of underground parking,,
811 Carnarvon in Downtown New Westminster,811 Carnarvon St,,Condo,Reliance Properties,454,,45,,,,,"walking distance to Downtown restaurants, shops, services",321 off-street vehicle parking spaces,,
813 Carnarvon Street in Downtown New Westminster,813 Carnarvon Street,,Condos,Domus Homes,204,Concrete,32,Connected Location-transite-oriented,,,Simcoe Park,"Restaurants, entertainment, schools, pharmacies, fitness centre, public transportation and more",222,,
837 & 841 12th Street | New Westminster,Twelfth & Dublin,,Condo,Marchentic Holdings & Zhao Xd Architect,29,,5,,2- & 3-bedroom homes,,"Mary Ave. Park, Moody Park & Hilda Park","Minutes to markets, shops & restaurants along 12th street; Close to schools, libraries & rec centers",1,,
8888 Osler Coming To Vancouver's Historic Marpole Neighbourhood,8888 Osler,TBD,Condos,Tria Homes,76,,6,near bus loop serving 3 bus routes,,,Ebisu Park,"grocery stores, shops, services, restaurants and school",,,
"8X on the Park, 1111 Richards, Vancouver - A New Standard in Sustainable Urban Living",1111 Richards Street,,"Studio, 1, 2, and 3-bedroom condos",Brenhill Developments,278,,35,,,,Emery Barnes Park,"Vancouver's finest shopping, entertainment, dining, and nightlife. Main library building, Contemporary Art Gallery, and BC Place.",,,
902 Davie - Downtown Micro-Condo Living,902 Davie Street,,homes ranging from 175 square feet to 275 square feet,Reliance Properties,,,30 Storeys,,,,,Grocery store planned for the first floor,,,
9080 Odlin Road | Richmond,Odlin Rd & Dubbert St,,,GBL Architects,,,,,1-3 bedroom homes,,Richmond Nature Park,"Alexandra Road Food Street, No. 3 Road shopping, Walmart",1,,
989 Victoria,989 Johnson Street,,Condo,Cox Developments Ltd.,206,Concrete Construction,17-storey & 15-storey,Floor-to-ceiling windows; A high performance glazing system to optimize the balance of natural light and thermal comfort,The site itself is right in the heart of downtown’s new residential urban core,,Harris Green Park,"London Drugs, restaurants, world's finest water sports, shopping and more","219 vehicle parking stalls, as well as two electric car",Every suite has a storage locker,
A Boutique Condo on Vancouver's Westside - 5555 Dunbar,5555 Dunbar Street,,,Omnicron Development,,,,,,,,,,,
ALDER at Milner Heights by Vesta,"7059 210th Street , Langley, BC",-,Townhouse & Detatched,Vesta,115,Wood frame,3,,,,,"Hospital, Golf, Schools",,,
ARCADIA by Nordel,"20852 77A Ave, Langley","$339,900 - $407,400",Townhomes,Nordel Construction,88,Wood frame,3,9' Ceilings,,,,,,,
ARCHSTONE in Yorkson,"7672 209th Street, Langley","$565,000 - 585,000",Townhomes,Archstone,Approx 90,Wood frame,3 Storey,"Side by Side Garages, ""King Sized"" Master Suites, 9' Ceilings, Quartz Countertops, and Individually Fenced Back Yards.",,Green Space,Willoughby Community Park,"Shopping, parks, trails, community centre, restaurants",2,,
ARGYLE by Crescent Creek Homes,"20901 83 Ave, Langley",,22 Twonhomes,Crersent Creek Homes,22,,,,,,,Willoughby Town Centre,,,
ARIIA by Azora in the Norquay Village,2757 Horley Street,,Townhouse,Azora,10,,,Move in Ready,,Amazing views from the private rooftop decks,,"Restaurants, schools, Park and more",7 parking and 25 bikes spots,,
Aalto Townhome by Intracorp in Coquitlam,1228 Hudson St,,Townhouse,Intracorp Townhome,,,,"Every home features a private entry, with either a manicured landscaped front yard or raised, walk-out patio",Built-in wire shelving in bedroom and hallway closets;Built-in media conduit for TV/electrical outlet combination in living room and master bedroom to conceal wires;9' ceilings on the main floor and more,,Harrier Park,"close to several parks and schools, including nearby Walton Elementary",,,
Acorn by Citrine at Norquay Village,2666 Duke Street,,Condos,Citrine Homes,30,,4,"Penthouses are optimized for picturesque views of the North Shore Mountains, ocean and Vancouver skyline",,,Norquay Park,"Shops, dining, schools, and parks",,,
Addition - City Living in the Heart of Downtown Vancouver,1155 Hornby Street,"$349,900+",,Kenstone Properties,164 condo residences,architecture by Henriquez Partners Architects,20 storeys,many green amenities and features,,,,,,,
Admiral in Strathcona,1134 E Georgia St,,townhomes,CH (East Georgia) Limited Partnership,30 strata townhomes,,,"5,397 sq ft outdoor amenity space","16,145 sq ft of commercial space",,Woodland Park,across from Admiral Seymour Elementary School,,,
"Aegean By Anxin | Squamish, BC",2 Ave & Victoria St,"From $399,998",Condo,Anxin Group,32,Woodframe,6,,"1-3 bedroom + den units, ranging from 646 - 1,194 sf",Mountains,Junction Park & O'Siyam Pavilion,"Walking distance to shops, services, grocers & popular restaurants; Several outdoor activities, including hiking, kitesurfing, mountain-biking, golfing & more",Secure parking w/ EV charging,,
Aero Place on Vancouver's West Side,7887 French Street,,Townhouse,Ultraphium Development Ltd,9,,3,"All homes have a private patio that faces a tranquil, landscaped central courtyard",,,Shannon Park,"Walking distance to shops, restaurants, services; two minutes from Marpole Oakridge Community Centre",,,
Akimbo in Burnaby,4285 Dawson St,,Condo,IMANI Development,350,,40,goal of LEED Silver,,,,near Brentwood Mall shopping,,,
Alba by Mondevo | Port Coquitlam,Rindall Ave,"Starting from $339,900",Condo,Mondevo Developments,75,Woodframe,4,,"Studio, 1-, 2- and 3-bedroom homes, ranging from 404 – 1,173 sf",,"Gates Park sports fields, Central Park & community gardens","Shops, restaurants & conveniences of downtown Port Coquitlam, multiple schools & Costco",2 levels of underground parking,,
Alden by Porte Homes | South Surrey,152 Street & 19 Ave,,Condos,Porte Homes,119,Woodframe,6,,"1- to 2-bedroom + den condos - spacious rooms, closets & balconies",,Bakerview Park,"Semiahmoo shopping centre, White Rock community centre, White Rock pier & beach",3 levels of underground parking,yes,
Aldynne on the Park,"5808 Patterson Avenue, Burnaby",,,Polygon,,,,,,,,,,,
Alexander Square In Langley,80 Ave & 209 St,"Sales from $319,900",Condo,RDG Management Ltd,308,,6,,"1-3 bedroom condos, ranging from 696 - 1,151 sf",Mountain views,Willoughby Community Park,"Shops, restaurants, grocers, cafés, entertainment & conveniences of Willoughby & Walnut Grove",Underground parking + visitor parking,Bicycle storage,
Allwood Place by Onni | Abbotsford,Allwood St & Simon Ave,"Starting from $429,900",Townhouse,Onni Group of Companies,224,,,,"2-3 BED, ranging from 1,180 - 1,300 sf",,"Mill Lake Park, Old Riverside Park","Shops, restaurants & services of Abbotsford’s main corridor",1 or 2 car garages,1,
Alma & 10th on Vancouver's Westside,3668 West 10th Ave,,Condos,Landa Global,32,Concrete,4,short walk to Broadway commercial district,,,"Almond Park, Jericho Beach, Spanish Banks watersports","St. George’s, Lord Byng Pool & Fitness Centre, Broadway commercial district, Shopping, Restaurant and more",80,,
Altura by Ramos Developments in Central Port Coquitlam,2349 Welcher Avenue,,Condominiums,Ramos Developments,35,Wood Frame,4,,,,"Central Park, Gates Park, Colony Farm Regional Park, Port Coquitlam Community Garden, Centennial Community Garden,","Port Coquitlam Recreation Complex, Terry Fox Library, Leigh Square Community Arts Village, Wilson Centre, PoCo Youth Centre",Secure Underground Parking,1 Storage Locker Per Unit,
Altus White Rock by Oviedo Developments,1526 Finlay Street,,Condo,Oviedo Developments,126,,12,,,Panoramic views of both the Pacific Ocean and the North Shore Mountains,Close to Alderwood Park,Near Semiahmoo Shopping Centre,,,
Amaji in Squamish,38033 2ND AVE,,Condos,Kainos Development,,,,Spacious nine foot ceilings and open floor plans,Stunning views from balconies in every suite,,,"Close to shopping, dining, schools – Quest, Home Depot, Shoppers, Banks",Parking Stall for Every Unit,Spacious Storage Lockers for Every Unit,
Amanti on Welcher - 28 Quality Homes on the Edge of Downtown PoCo,2280 Welcher Avenue,,Condominiums,DENA Construction,29,Wood Frame,4,,,,"Central Park, Gates Park, Colony Farm Regional Park, Port Coquitlam Community Garden, Centennial Community Garden,","Port Coquitlam Recreation Complex, Terry Fox Library, Leigh Square Community Arts Village, Wilson Centre, PoCo Youth Centre",1 Underground Parking,1 Storage Locker,
Amber 633 W King Edward on South Cambie,633 W King Edward,TBD,Townhouse and Condo,ARAGON PROPERTIES LTD.BUILDER & DEVELOPER.,31,Woodframe,4,"Very Walkable, close to transit as well as excellent Bike lanes",Large balconies and sliding glass doors,,Amber Douglas Park,"Shops, dining, schools, and parks",44 resident vehicle parking spaces,,
Amira in Uptown Neighbourhood of New Westminster,612 Brantford Street,,Condo,Alpha Beta Developments Ltd and Domus Homes,42,Woodframe,6,,"1,2 & 3 bedroom suites, ranging from 613-1,020 sf",,"Moody Park, Tipperary Park","Amenities of New Westminster downtown; the beautiful waterfront; multiple shops, services, restaurants & more",57 underground parking spaces,,
Amson Square in Surrey,14468 72 Avenue,,Condo,Amson Group,90,,5,All homes enjoy private outdoor patios or balconies,Two individual interior amenity rooms with over 2600 combined square feet in each building for large family gatherings adjacent to rooftop patio space,,"Nichol Estates Park, Arbutus Park","Steps from local shops, restaurants, and services",,,
Anna On Dunbar | Vancouver's West Side,Dunbar & West 39th,,Condo,Wesgroup Properties,29,Concrete,4,,"1-, 2- & 3-bedroom homes, which will be up to 2,000 sf in size",,"Pacific Spirit Regional Park, Musqueam Park",H-Mart & Save-On Foods grocers; Dunbar Community Centre; Pacific Spirit Regional Park & trails ; 2 golf courses & driving range; UBC,Underground parkade + street parking,,
Aoyuan Dawson Street near Brentwood Town Centre Skytrain,4500 Dawson Street,,Condominium and Townhouse,Aoyuan International,1450,,,,,,"Brentwood Park, Springer Park, Jim Lorimer Park","Brentwood Town Centre Mall, Shopping, Dining, Burnaby Lake Sports Complex",,,
Aperture - New Vancouver Condo on the Cambie Corridor,795 W 41st Avenue,"450,000+","1, 2 & 3-bedroom suites",Buffalo Investment,78 units,,6 storeys,includes air-conditioning,,,,,,,
Apex -Seylynn Village,"1520 Fern Street, North Vancouver, BC, Canada",TBD,Condos,Deanna Homes,274,Concrete,32,"Deanna Club - Pool, Gym, hot tub",,"South facing views of downtown, the water, burnaby and north facing toward the mountain.",Bridgeman Park,"Skiing, Parks, Rivers, Shopping",yes,yes,
Arbutus Ridge - A New Luxury Presale on Vancouver's Westside - By Cressey,3131 Arbutus Street,"$434,900 - $1,550,000+",,Cressey Development Group,"47 condominiums, 2 townhomes",curved limestone & undulating brick facade,,"featuring the signature CresseyKitchen™, upscale market",,,,,,,
Arcola in Highgate Burnaby,6965 Arcola Street,,Townhomes,Kingswood Real Estate,22,,3,Designed by Award-Winning Ankenman Marchand Architects,,,,"Save-On-Foods, Shopper's Drug Mart, Club 16 Fitness, YYoga, Starbucks, Parks, School and more",2,,
Aristotle | Langley City,84 Street,,Condo,ML Emporio Properties,173,,2 X 6-storey,,"1-, 2- and 3-bedroom homes in 2 X 6-storey buildings",,,"Nature, recreation, shopping centres, golf courses, parks, schools, etc.",Yes,,
Ariva Premium Estate Living | West Kelowna,Bernard Ave,"Starting from $500,000",,Ariva Developments,,,,,"300+ sq ft deck, gourmet kitchen, built-in BBQ counter",Okanagan Lake,Bear Creek Provincial Park Campground,"Okanagan Lake Shopping Centre, along w/ multiple restaurants & services",,,
Arne Vancouver - 20 Danish-Inspired Townhomes in Mount Pleasant,321 E 16th Avenue,,Townhomes,Mondevo,20,,3,,,A Broad Leafy Avenue,"Robson Park, Mount Pleasant Park",all the fun and flavour of Main Street with False Creek and the downtown core only a few minutes away.,Resident parking will be available in one level of underground.,,
Ascent by Saiya Developments | Langley City,197 St & 55A Ave,"Starting from $549,900",Townhouse,Saiya Developments,28,,,,"2-3 BED, ranging from 1,186 - 1,722 sf",,"Hi-Knoll Park, Buckley Park","Willowbrook shopping, Langley Crossing shopping, Costco, local breweries/ wineries, multiple popular restaurants and much more!",1,1,
Ash Street on Cambie Corridor,Ash St,,Condo,Pennyfarthing Homes,65,,2 X 4,,"1,2 & 3 BED suites, ranging from 614 - 1,382 sf",,Oak Meadows Park & VanDusen Garden,"Oakridge Centre shops, restaurants & conveniences; Queen Elizabeth Park shops, restaurants & services; numerous schools k-12; Hillcrest Community Centre & sport fields",2 levels of underground parking,,
Ashbury and Oak - Polygon,204th and 82nd Ave langley,$430k - $620k,Townhouse,Polygon,,Wood Frame,3,"Side by Side Garage, 9' Ceilings",,,,,2+,,
"Aster, South Granville Homes",7878 Granville St,"Sales from $939,000",Condo,Enrich Developments,19,,4,,"2-3 bedroom homes, ranging from 750 - 1,058 sf",,"Shannon Park, Riverview Park, Oak Park, Fraser River Park","Close to several schools, shops, restaurants & services of Granville St","Secure, gated underground parkade",Bike storage,
Atmosphere in Richmond,7960 Alderbridge Way,,Condo,South Street Development Group,674 market units,,,Open air plaza toward the centre of the sit,,,,Walking distance from numerous restaurants & shops,"1,161 vehicle parking spaces",,
Atrium | Langley City,Brydon Crescent,"Starting from $299,000",Condo,Jagson Investment Ltd.,77,,4,,,,"Brydon Park & Lagoon, Linwood Park",,1,,
Aura 2 in the heart of Burke Mountain | Coquitlam,Brownlee Ave & Mitchell St,,Single Family Home,Noura Homes,33,,,,"4-6 BED, ranging from 3,927-3,927 sf",Lush forests,Harper Park,"Steps from future daycare & Sheffield Elementary School, Hyde Creek Recreation Centre, Douglas College, Coquitlam Centre shopping & Costco",Spacious 2-car garage,Yes,
